time,ulsan,dangjin_warehouse,dangjin_floating,dangjin
2015-02-03 19:00:00,0,0,0,0
2015-02-03 20:00:00,0,0,0,0
2015-02-03 21:00:00,0,0,0,0
2015-02-03 22:00:00,0,0,0,0
2015-02-03 23:00:00,0,0,0,0
2015-02-03 24:00:00,0,0,0,0
2015-02-04 1:00:00,0,0,0,0
2015-02-04 2:00:00,0,0,0,0
2015-02-04 3:00:00,0,0,0,0
2015-02-04 4:00:00,0,0,0,0
2015-02-04 5:00:00,0,0,0,0
2015-02-04 6:00:00,0,0,0,0
2015-02-04 7:00:00,0,0,0,0
2015-02-04 8:00:00,0,0,0,0
2015-02-04 9:00:00,7,41,59,41
2015-02-04 10:00:00,25,118,158,113
2015-02-04 11:00:00,44,206,324,257
2015-02-04 12:00:00,86,239,397,303
2015-02-04 13:00:00,86,229,354,280
2015-02-04 14:00:00,73,166,245,189
2015-02-04 15:00:00,73,258,359,288
2015-02-04 16:00:00,49,193,281,224
2015-02-04 17:00:00,44,114,167,129
2015-02-04 18:00:00,7,18,36,18
2015-02-04 19:00:00,0,0,0,0
2015-02-04 20:00:00,0,0,0,0
2015-02-04 21:00:00,0,0,0,0
2015-02-04 22:00:00,0,0,0,0
2015-02-04 23:00:00,0,0,0,0
2015-02-04 24:00:00,0,0,0,0
2015-02-05 1:00:00,0,0,0,0
2015-02-05 2:00:00,0,0,0,0
2015-02-05 3:00:00,0,0,0,0
2015-02-05 4:00:00,0,0,0,0
2015-02-05 5:00:00,0,0,0,0
2015-02-05 6:00:00,0,0,0,0
2015-02-05 7:00:00,0,0,0,0
2015-02-05 8:00:00,3,0,1,0
2015-02-05 9:00:00,58,37,50,34
2015-02-05 10:00:00,145,140,165,114
2015-02-05 11:00:00,141,265,272,158
2015-02-05 12:00:00,234,341,524,366
2015-02-05 13:00:00,333,256,638,535
2015-02-05 14:00:00,219,424,619,559
2015-02-05 15:00:00,200,444,533,494
2015-02-05 16:00:00,140,339,407,394
2015-02-05 17:00:00,86,168,186,194
2015-02-05 18:00:00,11,31,33,20
2015-02-05 19:00:00,0,0,0,0
2015-02-05 20:00:00,0,0,0,0
2015-02-05 21:00:00,0,0,0,0
2015-02-05 22:00:00,0,0,0,0
2015-02-05 23:00:00,0,0,0,0
2015-02-05 24:00:00,0,0,0,0
2015-02-06 1:00:00,0,0,0,0
2015-02-06 2:00:00,0,0,0,0
2015-02-06 3:00:00,0,0,0,0
2015-02-06 4:00:00,0,0,0,0
2015-02-06 5:00:00,0,0,0,0
2015-02-06 6:00:00,0,0,0,0
2015-02-06 7:00:00,0,0,0,0
2015-02-06 8:00:00,5,0,1,0
2015-02-06 9:00:00,70,58,101,89
2015-02-06 10:00:00,187,93,211,136
2015-02-06 11:00:00,273,212,380,309
2015-02-06 12:00:00,321,315,400,348
2015-02-06 13:00:00,335,492,650,574
2015-02-06 14:00:00,334,480,578,554
2015-02-06 15:00:00,288,468,515,545
2015-02-06 16:00:00,212,383,440,549
2015-02-06 17:00:00,91,188,205,298
2015-02-06 18:00:00,7,26,25,21
2015-02-06 19:00:00,0,0,0,0
2015-02-06 20:00:00,0,0,0,0
2015-02-06 21:00:00,0,0,0,0
2015-02-06 22:00:00,0,0,0,0
2015-02-06 23:00:00,0,0,0,0
2015-02-06 24:00:00,0,0,0,0
2015-02-07 1:00:00,0,0,0,0
2015-02-07 2:00:00,0,0,0,0
2015-02-07 3:00:00,0,0,0,0
2015-02-07 4:00:00,0,0,0,0
2015-02-07 5:00:00,0,0,0,0
2015-02-07 6:00:00,0,0,0,0
2015-02-07 7:00:00,0,0,0,0
2015-02-07 8:00:00,1,0,0,0
2015-02-07 9:00:00,42,8,14,3
2015-02-07 10:00:00,90,40,59,64
2015-02-07 11:00:00,201,216,296,332
2015-02-07 12:00:00,316,286,421,439
2015-02-07 13:00:00,328,442,592,686
2015-02-07 14:00:00,317,260,393,437
2015-02-07 15:00:00,280,254,329,413
2015-02-07 16:00:00,191,119,185,215
2015-02-07 17:00:00,62,60,104,99
2015-02-07 18:00:00,5,8,20,8
2015-02-07 19:00:00,0,0,0,0
2015-02-07 20:00:00,0,0,0,0
2015-02-07 21:00:00,0,0,0,0
2015-02-07 22:00:00,0,0,0,0
2015-02-07 23:00:00,0,0,0,0
2015-02-07 24:00:00,0,0,0,0
2015-02-08 1:00:00,0,0,0,0
2015-02-08 2:00:00,0,0,0,0
2015-02-08 3:00:00,0,0,0,0
2015-02-08 4:00:00,0,0,0,0
2015-02-08 5:00:00,0,0,0,0
2015-02-08 6:00:00,0,0,0,0
2015-02-08 7:00:00,0,0,0,0
2015-02-08 8:00:00,1,0,2,0
2015-02-08 9:00:00,75,29,46,31
2015-02-08 10:00:00,205,111,143,125
2015-02-08 11:00:00,299,184,364,254
2015-02-08 12:00:00,357,160,529,386
2015-02-08 13:00:00,377,181,652,586
2015-02-08 14:00:00,366,307,704,646
2015-02-08 15:00:00,325,404,628,606
2015-02-08 16:00:00,249,367,494,501
2015-02-08 17:00:00,123,216,239,280
2015-02-08 18:00:00,8,49,35,32
2015-02-08 19:00:00,0,0,0,0
2015-02-08 20:00:00,0,0,0,0
2015-02-08 21:00:00,0,0,0,0
2015-02-08 22:00:00,0,0,0,0
2015-02-08 23:00:00,0,0,0,0
2015-02-08 24:00:00,0,0,0,0
2015-02-09 1:00:00,0,0,0,0
2015-02-09 2:00:00,0,0,0,0
2015-02-09 3:00:00,0,0,0,0
2015-02-09 4:00:00,0,0,0,0
2015-02-09 5:00:00,0,0,0,0
2015-02-09 6:00:00,0,0,0,0
2015-02-09 7:00:00,0,0,0,0
2015-02-09 8:00:00,9,1,4,0
2015-02-09 9:00:00,84,59,132,116
2015-02-09 10:00:00,210,198,364,308
2015-02-09 11:00:00,305,349,531,434
2015-02-09 12:00:00,357,444,636,533
2015-02-09 13:00:00,379,442,620,527
2015-02-09 14:00:00,364,217,324,250
2015-02-09 15:00:00,322,254,328,293
2015-02-09 16:00:00,251,179,262,209
2015-02-09 17:00:00,124,109,169,139
2015-02-09 18:00:00,8,11,26,7
2015-02-09 19:00:00,0,0,0,0
2015-02-09 20:00:00,0,0,0,0
2015-02-09 21:00:00,0,0,0,0
2015-02-09 22:00:00,0,0,0,0
2015-02-09 23:00:00,0,0,0,0
2015-02-09 24:00:00,0,0,0,0
2015-02-10 1:00:00,0,0,0,0
2015-02-10 2:00:00,0,0,0,0
2015-02-10 3:00:00,0,0,0,0
2015-02-10 4:00:00,0,0,0,0
2015-02-10 5:00:00,0,0,0,0
2015-02-10 6:00:00,0,0,0,0
2015-02-10 7:00:00,0,0,0,0
2015-02-10 8:00:00,7,0,2,0
2015-02-10 9:00:00,70,39,59,47
2015-02-10 10:00:00,172,132,208,173
2015-02-10 11:00:00,254,247,370,303
2015-02-10 12:00:00,306,333,490,401
2015-02-10 13:00:00,329,379,538,455
2015-02-10 14:00:00,310,333,458,400
2015-02-10 15:00:00,258,321,432,385
2015-02-10 16:00:00,181,210,300,265
2015-02-10 17:00:00,83,110,168,143
2015-02-10 18:00:00,10,20,36,19
2015-02-10 19:00:00,0,0,0,0
2015-02-10 20:00:00,0,0,0,0
2015-02-10 21:00:00,0,0,0,0
2015-02-10 22:00:00,0,0,0,0
2015-02-10 23:00:00,0,0,0,0
2015-02-10 24:00:00,0,0,0,0
2015-02-11 1:00:00,0,0,0,0
2015-02-11 2:00:00,0,0,0,0
2015-02-11 3:00:00,0,0,0,0
2015-02-11 4:00:00,0,0,0,0
2015-02-11 5:00:00,0,0,0,0
2015-02-11 6:00:00,0,0,0,0
2015-02-11 7:00:00,0,0,0,0
2015-02-11 8:00:00,6,0,1,0
2015-02-11 9:00:00,41,24,39,23
2015-02-11 10:00:00,140,120,165,131
2015-02-11 11:00:00,219,234,294,238
2015-02-11 12:00:00,313,266,339,265
2015-02-11 13:00:00,329,378,522,455
2015-02-11 14:00:00,311,412,592,494
2015-02-11 15:00:00,231,285,417,341
2015-02-11 16:00:00,156,287,371,351
2015-02-11 17:00:00,88,133,195,172
2015-02-11 18:00:00,14,42,53,36
2015-02-11 19:00:00,0,0,1,0
2015-02-11 20:00:00,0,0,0,0
2015-02-11 21:00:00,0,0,0,0
2015-02-11 22:00:00,0,0,0,0
2015-02-11 23:00:00,0,0,0,0
2015-02-11 24:00:00,0,0,0,0
2015-02-12 1:00:00,0,0,0,0
2015-02-12 2:00:00,0,0,0,0
2015-02-12 3:00:00,0,0,0,0
2015-02-12 4:00:00,0,0,0,0
2015-02-12 5:00:00,0,0,0,0
2015-02-12 6:00:00,0,0,0,0
2015-02-12 7:00:00,0,0,0,0
2015-02-12 8:00:00,4,2,3,0
2015-02-12 9:00:00,59,61,111,99
2015-02-12 10:00:00,154,212,349,296
2015-02-12 11:00:00,260,376,557,457
2015-02-12 12:00:00,335,442,694,564
2015-02-12 13:00:00,366,475,732,624
2015-02-12 14:00:00,354,525,702,671
2015-02-12 15:00:00,317,519,607,763
2015-02-12 16:00:00,246,428,480,642
2015-02-12 17:00:00,125,237,269,399
2015-02-12 18:00:00,11,56,36,40
2015-02-12 19:00:00,0,0,0,0
2015-02-12 20:00:00,0,0,0,0
2015-02-12 21:00:00,0,0,0,0
2015-02-12 22:00:00,0,0,0,0
2015-02-12 23:00:00,0,0,0,0
2015-02-12 24:00:00,0,0,0,0
2015-02-13 1:00:00,0,0,0,0
2015-02-13 2:00:00,0,0,0,0
2015-02-13 3:00:00,0,0,0,0
2015-02-13 4:00:00,0,0,0,0
2015-02-13 5:00:00,0,0,0,0
2015-02-13 6:00:00,0,0,0,0
2015-02-13 7:00:00,0,0,0,0
2015-02-13 8:00:00,1,2,4,1
2015-02-13 9:00:00,82,62,120,141
2015-02-13 10:00:00,207,204,339,378
2015-02-13 11:00:00,295,366,549,585
2015-02-13 12:00:00,346,463,685,725
2015-02-13 13:00:00,365,525,723,797
2015-02-13 14:00:00,354,536,695,806
2015-02-13 15:00:00,320,500,612,754
2015-02-13 16:00:00,249,413,469,645
2015-02-13 17:00:00,127,223,265,390
2015-02-13 18:00:00,11,52,38,40
2015-02-13 19:00:00,0,0,0,0
2015-02-13 20:00:00,0,0,0,0
2015-02-13 21:00:00,0,0,0,0
2015-02-13 22:00:00,0,0,0,0
2015-02-13 23:00:00,0,0,0,0
2015-02-13 24:00:00,0,0,0,0
2015-02-14 1:00:00,0,0,0,0
2015-02-14 2:00:00,0,0,0,0
2015-02-14 3:00:00,0,0,0,0
2015-02-14 4:00:00,0,0,0,0
2015-02-14 5:00:00,0,0,0,0
2015-02-14 6:00:00,0,0,0,0
2015-02-14 7:00:00,0,0,0,0
2015-02-14 8:00:00,8,1,3,0
2015-02-14 9:00:00,76,52,80,82
2015-02-14 10:00:00,189,153,235,257
2015-02-14 11:00:00,273,127,207,190
2015-02-14 12:00:00,328,64,102,107
2015-02-14 13:00:00,347,200,294,342
2015-02-14 14:00:00,337,337,498,523
2015-02-14 15:00:00,301,337,467,516
2015-02-14 16:00:00,230,270,358,415
2015-02-14 17:00:00,119,147,211,253
2015-02-14 18:00:00,12,30,48,38
2015-02-14 19:00:00,0,0,0,0
2015-02-14 20:00:00,0,0,0,0
2015-02-14 21:00:00,0,0,0,0
2015-02-14 22:00:00,0,0,0,0
2015-02-14 23:00:00,0,0,0,0
2015-02-14 24:00:00,0,0,0,0
2015-02-15 1:00:00,0,0,0,0
2015-02-15 2:00:00,0,0,0,0
2015-02-15 3:00:00,0,0,0,0
2015-02-15 4:00:00,0,0,0,0
2015-02-15 5:00:00,0,0,0,0
2015-02-15 6:00:00,0,0,0,0
2015-02-15 7:00:00,0,0,0,0
2015-02-15 8:00:00,10,2,4,0
2015-02-15 9:00:00,63,46,66,72
2015-02-15 10:00:00,117,111,168,181
2015-02-15 11:00:00,176,176,254,283
2015-02-15 12:00:00,253,271,400,429
2015-02-15 13:00:00,171,274,422,434
2015-02-15 14:00:00,80,264,401,403
2015-02-15 15:00:00,50,156,237,236
2015-02-15 16:00:00,26,76,115,109
2015-02-15 17:00:00,8,45,73,60
2015-02-15 18:00:00,1,2,8,0
2015-02-15 19:00:00,0,0,0,0
2015-02-15 20:00:00,0,0,0,0
2015-02-15 21:00:00,0,0,0,0
2015-02-15 22:00:00,0,0,0,0
2015-02-15 23:00:00,0,0,0,0
2015-02-15 24:00:00,0,0,0,0
2015-02-16 1:00:00,0,0,0,0
2015-02-16 2:00:00,0,0,0,0
2015-02-16 3:00:00,0,0,0,0
2015-02-16 4:00:00,0,0,0,0
2015-02-16 5:00:00,0,0,0,0
2015-02-16 6:00:00,0,0,0,0
2015-02-16 7:00:00,0,0,0,0
2015-02-16 8:00:00,0,0,0,0
2015-02-16 9:00:00,1,4,10,0
2015-02-16 10:00:00,8,20,33,20
2015-02-16 11:00:00,16,40,60,59
2015-02-16 12:00:00,9,22,38,25
2015-02-16 13:00:00,16,25,33,25
2015-02-16 14:00:00,19,17,30,13
2015-02-16 15:00:00,10,6,16,0
2015-02-16 16:00:00,4,7,15,0
2015-02-16 17:00:00,0,2,9,0
2015-02-16 18:00:00,0,0,1,0
2015-02-16 19:00:00,0,0,0,0
2015-02-16 20:00:00,0,0,0,0
2015-02-16 21:00:00,0,0,0,0
2015-02-16 22:00:00,0,0,0,0
2015-02-16 23:00:00,0,0,0,0
2015-02-16 24:00:00,0,0,0,0
2015-02-17 1:00:00,0,0,0,0
2015-02-17 2:00:00,0,0,0,0
2015-02-17 3:00:00,0,0,0,0
2015-02-17 4:00:00,0,0,0,0
2015-02-17 5:00:00,0,0,0,0
2015-02-17 6:00:00,0,0,0,0
2015-02-17 7:00:00,0,0,0,0
2015-02-17 8:00:00,8,0,0,0
2015-02-17 9:00:00,73,5,12,0
2015-02-17 10:00:00,133,30,61,54
2015-02-17 11:00:00,274,104,90,91
2015-02-17 12:00:00,318,124,195,173
2015-02-17 13:00:00,351,161,260,259
2015-02-17 14:00:00,327,201,390,423
2015-02-17 15:00:00,239,152,268,235
2015-02-17 16:00:00,199,73,124,108
2015-02-17 17:00:00,96,63,126,121
2015-02-17 18:00:00,10,9,32,13
2015-02-17 19:00:00,0,0,1,0
2015-02-17 20:00:00,0,0,0,0
2015-02-17 21:00:00,0,0,0,0
2015-02-17 22:00:00,0,0,0,0
2015-02-17 23:00:00,0,0,0,0
2015-02-17 24:00:00,0,0,0,0
2015-02-18 1:00:00,0,0,0,0
2015-02-18 2:00:00,0,0,0,0
2015-02-18 3:00:00,0,0,0,0
2015-02-18 4:00:00,0,0,0,0
2015-02-18 5:00:00,0,0,0,0
2015-02-18 6:00:00,0,0,0,0
2015-02-18 7:00:00,0,0,0,0
2015-02-18 8:00:00,9,0,0,0
2015-02-18 9:00:00,75,7,11,0
2015-02-18 10:00:00,178,20,31,14
2015-02-18 11:00:00,252,101,151,143
2015-02-18 12:00:00,308,134,307,283
2015-02-18 13:00:00,323,262,613,640
2015-02-18 14:00:00,283,460,633,673
2015-02-18 15:00:00,109,403,532,562
2015-02-18 16:00:00,159,277,369,413
2015-02-18 17:00:00,58,45,81,69
2015-02-18 18:00:00,5,3,11,0
2015-02-18 19:00:00,0,0,0,0
2015-02-18 20:00:00,0,0,0,0
2015-02-18 21:00:00,0,0,0,0
2015-02-18 22:00:00,0,0,0,0
2015-02-18 23:00:00,0,0,0,0
2015-02-18 24:00:00,0,0,0,0
2015-02-19 1:00:00,0,0,0,0
2015-02-19 2:00:00,0,0,0,0
2015-02-19 3:00:00,0,0,0,0
2015-02-19 4:00:00,0,0,0,0
2015-02-19 5:00:00,0,0,0,0
2015-02-19 6:00:00,0,0,0,0
2015-02-19 7:00:00,0,0,0,0
2015-02-19 8:00:00,7,4,8,4
2015-02-19 9:00:00,72,72,127,148
2015-02-19 10:00:00,189,211,349,384
2015-02-19 11:00:00,282,371,564,601
2015-02-19 12:00:00,317,466,685,715
2015-02-19 13:00:00,201,510,743,785
2015-02-19 14:00:00,132,512,709,791
2015-02-19 15:00:00,266,471,622,728
2015-02-19 16:00:00,193,355,447,559
2015-02-19 17:00:00,118,233,321,404
2015-02-19 18:00:00,10,60,64,71
2015-02-19 19:00:00,0,0,2,0
2015-02-19 20:00:00,0,0,0,0
2015-02-19 21:00:00,0,0,0,0
2015-02-19 22:00:00,0,0,0,0
2015-02-19 23:00:00,0,0,0,0
2015-02-19 24:00:00,0,0,0,0
2015-02-20 1:00:00,0,0,0,0
2015-02-20 2:00:00,0,0,0,0
2015-02-20 3:00:00,0,0,0,0
2015-02-20 4:00:00,0,0,0,0
2015-02-20 5:00:00,0,0,0,0
2015-02-20 6:00:00,0,0,0,0
2015-02-20 7:00:00,0,0,0,0
2015-02-20 8:00:00,11,4,9,2
2015-02-20 9:00:00,64,68,108,120
2015-02-20 10:00:00,170,179,278,288
2015-02-20 11:00:00,285,199,298,303
2015-02-20 12:00:00,325,361,517,557
2015-02-20 13:00:00,364,437,653,664
2015-02-20 14:00:00,356,230,357,344
2015-02-20 15:00:00,315,264,372,392
2015-02-20 16:00:00,241,280,399,450
2015-02-20 17:00:00,124,111,178,164
2015-02-20 18:00:00,12,17,35,17
2015-02-20 19:00:00,0,0,0,0
2015-02-20 20:00:00,0,0,0,0
2015-02-20 21:00:00,0,0,0,0
2015-02-20 22:00:00,0,0,0,0
2015-02-20 23:00:00,0,0,0,0
2015-02-20 24:00:00,0,0,0,0
2015-02-21 1:00:00,0,0,0,0
2015-02-21 2:00:00,0,0,0,0
2015-02-21 3:00:00,0,0,0,0
2015-02-21 4:00:00,0,0,0,0
2015-02-21 5:00:00,0,0,0,0
2015-02-21 6:00:00,0,0,0,0
2015-02-21 7:00:00,0,0,0,0
2015-02-21 8:00:00,0,0,1,0
2015-02-21 9:00:00,20,8,15,0
2015-02-21 10:00:00,42,32,50,44
2015-02-21 11:00:00,39,55,79,82
2015-02-21 12:00:00,48,62,95,90
2015-02-21 13:00:00,36,52,84,76
2015-02-21 14:00:00,25,53,77,76
2015-02-21 15:00:00,16,72,106,108
2015-02-21 16:00:00,7,52,90,87
2015-02-21 17:00:00,1,22,45,31
2015-02-21 18:00:00,0,1,6,0
2015-02-21 19:00:00,0,0,0,0
2015-02-21 20:00:00,0,0,0,0
2015-02-21 21:00:00,0,0,0,0
2015-02-21 22:00:00,0,0,0,0
2015-02-21 23:00:00,0,0,0,0
2015-02-21 24:00:00,0,0,0,0
2015-02-22 1:00:00,0,0,0,0
2015-02-22 2:00:00,0,0,0,0
2015-02-22 3:00:00,0,0,0,0
2015-02-22 4:00:00,0,0,0,0
2015-02-22 5:00:00,0,0,0,0
2015-02-22 6:00:00,0,0,0,0
2015-02-22 7:00:00,0,0,0,0
2015-02-22 8:00:00,2,0,2,0
2015-02-22 9:00:00,5,20,37,20
2015-02-22 10:00:00,40,73,113,118
2015-02-22 11:00:00,86,116,193,190
2015-02-22 12:00:00,114,138,207,211
2015-02-22 13:00:00,101,168,272,273
2015-02-22 14:00:00,50,250,386,382
2015-02-22 15:00:00,194,383,519,596
2015-02-22 16:00:00,251,373,480,571
2015-02-22 17:00:00,90,175,244,267
2015-02-22 18:00:00,24,32,62,50
2015-02-22 19:00:00,0,0,2,0
2015-02-22 20:00:00,0,0,0,0
2015-02-22 21:00:00,0,0,0,0
2015-02-22 22:00:00,0,0,0,0
2015-02-22 23:00:00,0,0,0,0
2015-02-22 24:00:00,0,0,0,0
2015-02-23 1:00:00,0,0,0,0
2015-02-23 2:00:00,0,0,0,0
2015-02-23 3:00:00,0,0,0,0
2015-02-23 4:00:00,0,0,0,0
2015-02-23 5:00:00,0,0,0,0
2015-02-23 6:00:00,0,0,0,0
2015-02-23 7:00:00,0,0,0,0
2015-02-23 8:00:00,0,1,2,0
2015-02-23 9:00:00,19,32,50,41
2015-02-23 10:00:00,92,115,157,155
2015-02-23 11:00:00,104,207,313,298
2015-02-23 12:00:00,242,200,307,316
2015-02-23 13:00:00,355,243,412,392
2015-02-23 14:00:00,345,421,629,665
2015-02-23 15:00:00,305,399,511,548
2015-02-23 16:00:00,227,255,297,374
2015-02-23 17:00:00,123,210,293,345
2015-02-23 18:00:00,22,50,84,72
2015-02-23 19:00:00,0,0,2,0
2015-02-23 20:00:00,0,0,0,0
2015-02-23 21:00:00,0,0,0,0
2015-02-23 22:00:00,0,0,0,0
2015-02-23 23:00:00,0,0,0,0
2015-02-23 24:00:00,0,0,0,0
2015-02-24 1:00:00,0,0,0,0
2015-02-24 2:00:00,0,0,0,0
2015-02-24 3:00:00,0,0,0,0
2015-02-24 4:00:00,0,0,0,0
2015-02-24 5:00:00,0,0,0,0
2015-02-24 6:00:00,0,0,0,0
2015-02-24 7:00:00,0,0,0,0
2015-02-24 8:00:00,5,6,7,5
2015-02-24 9:00:00,45,75,125,130
2015-02-24 10:00:00,167,86,268,216
2015-02-24 11:00:00,256,324,554,560
2015-02-24 12:00:00,247,451,708,735
2015-02-24 13:00:00,352,534,771,799
2015-02-24 14:00:00,322,551,756,821
2015-02-24 15:00:00,310,526,675,777
2015-02-24 16:00:00,237,448,509,664
2015-02-24 17:00:00,132,291,342,455
2015-02-24 18:00:00,22,75,94,112
2015-02-24 19:00:00,0,0,3,0
2015-02-24 20:00:00,0,0,0,0
2015-02-24 21:00:00,0,0,0,0
2015-02-24 22:00:00,0,0,0,0
2015-02-24 23:00:00,0,0,0,0
2015-02-24 24:00:00,0,0,0,0
2015-02-25 1:00:00,0,0,0,0
2015-02-25 2:00:00,0,0,0,0
2015-02-25 3:00:00,0,0,0,0
2015-02-25 4:00:00,0,0,0,0
2015-02-25 5:00:00,0,0,0,0
2015-02-25 6:00:00,0,0,0,0
2015-02-25 7:00:00,0,0,0,0
2015-02-25 8:00:00,9,3,5,0
2015-02-25 9:00:00,76,64,90,95
2015-02-25 10:00:00,189,102,151,155
2015-02-25 11:00:00,187,215,303,318
2015-02-25 12:00:00,169,395,581,612
2015-02-25 13:00:00,216,485,724,753
2015-02-25 14:00:00,196,336,531,549
2015-02-25 15:00:00,166,294,469,458
2015-02-25 16:00:00,91,259,343,403
2015-02-25 17:00:00,39,188,255,280
2015-02-25 18:00:00,8,15,33,19
2015-02-25 19:00:00,0,0,0,0
2015-02-25 20:00:00,0,0,0,0
2015-02-25 21:00:00,0,0,0,0
2015-02-25 22:00:00,0,0,0,0
2015-02-25 23:00:00,0,0,0,0
2015-02-25 24:00:00,0,0,0,0
2015-02-26 1:00:00,0,0,0,0
2015-02-26 2:00:00,0,0,0,0
2015-02-26 3:00:00,0,0,0,0
2015-02-26 4:00:00,0,0,0,0
2015-02-26 5:00:00,0,0,0,0
2015-02-26 6:00:00,0,0,0,0
2015-02-26 7:00:00,0,0,0,0
2015-02-26 8:00:00,13,2,5,0
2015-02-26 9:00:00,89,50,69,66
2015-02-26 10:00:00,146,158,303,244
2015-02-26 11:00:00,126,383,563,442
2015-02-26 12:00:00,196,501,672,567
2015-02-26 13:00:00,327,583,821,652
2015-02-26 14:00:00,333,543,801,648
2015-02-26 15:00:00,274,549,714,617
2015-02-26 16:00:00,210,456,529,515
2015-02-26 17:00:00,124,293,344,354
2015-02-26 18:00:00,25,78,99,92
2015-02-26 19:00:00,0,1,4,0
2015-02-26 20:00:00,0,0,0,0
2015-02-26 21:00:00,0,0,0,0
2015-02-26 22:00:00,0,0,0,0
2015-02-26 23:00:00,0,0,0,0
2015-02-26 24:00:00,0,0,0,0
2015-02-27 1:00:00,0,0,0,0
2015-02-27 2:00:00,0,0,0,0
2015-02-27 3:00:00,0,0,0,0
2015-02-27 4:00:00,0,0,0,0
2015-02-27 5:00:00,0,0,0,0
2015-02-27 6:00:00,0,0,0,0
2015-02-27 7:00:00,0,0,0,0
2015-02-27 8:00:00,6,13,18,13
2015-02-27 9:00:00,18,93,149,108
2015-02-27 10:00:00,53,268,388,248
2015-02-27 11:00:00,212,424,541,333
2015-02-27 12:00:00,332,506,697,452
2015-02-27 13:00:00,387,564,819,544
2015-02-27 14:00:00,370,557,800,605
2015-02-27 15:00:00,270,487,680,585
